round,generation,solution_index,bitstring,objective_1,objective_2,objective_3,num_selected,selected_client_ids,num_available_selected,available_selected_client_ids,num_unavailable_selected,unavailable_selected_client_ids,mean_selected_client_accuracy,selected_client_accuracy_variance,selected_client_accuracy_std,inverse_accuracy_variance,mean_selected_utility,selected_utility_variance,selected_utility_std,mean_available_selected_utility,available_selected_utility_variance,available_selected_utility_std
0,2,0,101011110100010111111010000100,0.46453187009898333,0.4201657451116122,0.6180000007152557,16,"[0, 2, 4, 5, 6, 7, 9, 13, 15, 16, 17, 18, 19, 20, 22, 27]",13,"[0, 2, 4, 5, 6, 13, 15, 16, 17, 18, 19, 20, 27]",3,"[7, 9, 22]",0.3595484895631671,0.03961160383297505,0.1990266410131444,25.245127771563254,0.4471510075017713,0.08102142940884388,0.2846426345592731,0.5354681299010167,0.057787572738576674,0.24039045891752167
0,2,1,010000010110000011001111100111,0.472495443570107,0.3080081410706043,0.806999996304512,14,"[1, 7, 9, 10, 16, 17, 20, 21, 22, 23, 24, 27, 28, 29]",10,"[1, 10, 16, 17, 20, 21, 23, 27, 28, 29]",4,"[7, 9, 22, 24]",0.26065596884914805,0.0246545763706224,0.15701775813780555,40.56042111482264,0.39470962540219257,0.09777920766635384,0.31269667037938514,0.527504556429893,0.07473556980416743,0.2733780711837865
0,2,2,010000001001111111000101000100,0.3203381194431657,0.411513136078914,0.6694999933242798,12,"[1, 8, 11, 12, 13, 14, 15, 16, 17, 21, 23, 27]",12,"[1, 8, 11, 12, 13, 14, 15, 16, 17, 21, 23, 27]",0,[],0.411513136078914,0.04164746011558005,0.20407709355922346,24.011068075335196,0.6796618805568343,0.05636827205695417,0.2374200329731132,0.6796618805568343,0.05636827205695417,0.2374200329731132
0,2,3,011101111100110000101000100010,0.2942338930635817,0.498255120082335,0.613999992609024,14,"[1, 2, 3, 5, 6, 7, 8, 9, 12, 13, 18, 20, 24, 28]",11,"[1, 2, 3, 5, 6, 8, 12, 13, 18, 20, 28]",3,"[7, 9, 24]",0.43060843566698687,0.051617958898697455,0.2271958602146999,19.373102333677018,0.5659364474702626,0.10631154169240463,0.32605450724135776,0.7057661069364183,0.043764632922030915,0.2091999830832472
0,2,4,011000110101010111001001000101,0.4432001500253072,0.36236254312098026,0.7849999964237213,14,"[1, 2, 6, 7, 9, 11, 13, 15, 16, 17, 20, 23, 27, 29]",12,"[1, 2, 6, 11, 13, 15, 16, 17, 20, 23, 27, 29]",2,"[7, 9]",0.3298272349472557,0.03956405914779978,0.19890716213299053,25.27546519593179,0.4845516091401961,0.08871885733427355,0.29785710892015577,0.5567998499746928,0.06669700686120232,0.25825763659803425
0,2,5,111101101111010101110110000101,0.3901941538041974,0.45543836977551966,0.6060000061988831,19,"[0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 13, 15, 17, 18, 19, 21, 22, 27, 29]",17,"[0, 1, 2, 3, 5, 6, 8, 10, 11, 13, 15, 17, 18, 19, 21, 27, 29]",2,"[9, 22]",0.41154727457385315,0.053957145990744505,0.23228677532469322,18.53322635284554,0.5552206402717617,0.09380681744795137,0.30627898629836064,0.6098058461958026,0.07653723872253891,0.27665364397119174
0,2,6,010001010111110110001101000011,0.3940959547110091,0.37751912210996336,0.6495000123977661,15,"[1, 5, 7, 9, 10, 11, 12, 13, 15, 16, 20, 21, 23, 28, 29]",13,"[1, 5, 10, 11, 12, 13, 15, 16, 20, 21, 23, 28, 29]",2,"[7, 9]",0.34513195728262264,0.03201494894806811,0.17892721690136498,31.235408234513,0.5319251278015542,0.10242537979345294,0.3200396534703988,0.6059040452889909,0.0768876039527462,0.27728614093161275
0,2,7,000000110001101111001110101100,0.37250357140084533,0.4064608814025467,0.74549999833107,14,"[6, 7, 11, 12, 14, 15, 16, 17, 20, 21, 22, 24, 26, 27]",11,"[6, 11, 12, 14, 15, 16, 17, 20, 21, 26, 27]",3,"[7, 22, 24]",0.3560440209028976,0.05927448858647354,0.24346352619329562,16.87066432536375,0.5044330877954525,0.10246692687043397,0.3201045561538198,0.6274964285991547,0.0594415337578923,0.24380634478596389
0,2,8,110111011100111000000010001000,0.34494982038266664,0.4199825035408139,0.6274999976158142,13,"[0, 1, 3, 4, 5, 7, 8, 9, 12, 13, 14, 22, 26]",10,"[0, 1, 3, 4, 5, 8, 12, 13, 14, 26]",3,"[7, 9, 22]",0.34541893707445037,0.060298739293763504,0.245558016146416,16.584094654586362,0.5187563251914198,0.12133803038441662,0.34833608826019824,0.6550501796173334,0.07681233755881932,0.2771503879824441
0,2,9,100000010110000011001111100111,0.5524383473544704,0.3244955949485302,0.7490000128746033,14,"[0, 7, 9, 10, 16, 17, 20, 21, 22, 23, 24, 27, 28, 29]",10,"[0, 10, 16, 17, 20, 21, 23, 27, 28, 29]",4,"[7, 9, 22, 24]",0.2724327216190951,0.025552321720981312,0.15985093594027316,39.135387027429616,0.3376075512705044,0.08216980758862358,0.28665276483687296,0.4475616526455296,0.07228847223646351,0.2688651562334984
0,2,10,111101111100110000101001100010,0.3568483577046835,0.4733551832345816,0.609499990940094,16,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 12, 13, 18, 20, 23, 24, 28]",13,"[0, 1, 2, 3, 5, 6, 8, 12, 13, 18, 20, 23, 28]",3,"[7, 9, 24]",0.4188330725301057,0.04645752840168802,0.21554008537088412,21.52503661739494,0.5325409023826368,0.10561421415031225,0.32498340596146175,0.6431516422953165,0.06448371169516719,0.2539364323904059
0,2,11,011010110001111101011011000101,0.39711627216174017,0.3930763696630796,0.62049999833107,17,"[1, 2, 4, 6, 7, 11, 12, 13, 14, 15, 17, 19, 20, 22, 23, 27, 29]",15,"[1, 2, 4, 6, 11, 12, 13, 14, 15, 17, 19, 20, 23, 27, 29]",2,"[7, 22]",0.3606594785609666,0.04746164673137334,0.21785694097589212,21.06964399402044,0.5379588042413461,0.0879245484073012,0.29652073857877326,0.6028837278382598,0.06360293011013825,0.25219621351268984
0,2,12,100110010100110000000010001101,0.4725027910506987,0.3621673595625907,0.6344999969005585,11,"[0, 3, 4, 7, 9, 12, 13, 22, 26, 27, 29]",8,"[0, 3, 4, 12, 13, 26, 27, 29]",3,"[7, 9, 22]",0.2898145475509492,0.06283191820078039,0.25066295737659444,15.915477811842129,0.4012098275372302,0.11557840459839035,0.33996824057313113,0.5274972089493013,0.09990366556790911,0.3160754112042079
0,3,0,101011110100010111111010000100,0.46453187009898333,0.4201657451116122,0.6180000007152557,16,"[0, 2, 4, 5, 6, 7, 9, 13, 15, 16, 17, 18, 19, 20, 22, 27]",13,"[0, 2, 4, 5, 6, 13, 15, 16, 17, 18, 19, 20, 27]",3,"[7, 9, 22]",0.3595484895631671,0.03961160383297505,0.1990266410131444,25.245127771563254,0.4471510075017713,0.08102142940884388,0.2846426345592731,0.5354681299010167,0.057787572738576674,0.24039045891752167
0,3,1,010000010110000011001111100111,0.472495443570107,0.3080081410706043,0.806999996304512,14,"[1, 7, 9, 10, 16, 17, 20, 21, 22, 23, 24, 27, 28, 29]",10,"[1, 10, 16, 17, 20, 21, 23, 27, 28, 29]",4,"[7, 9, 22, 24]",0.26065596884914805,0.0246545763706224,0.15701775813780555,40.56042111482264,0.39470962540219257,0.09777920766635384,0.31269667037938514,0.527504556429893,0.07473556980416743,0.2733780711837865
0,3,2,010000001001111111000101000100,0.3203381194431657,0.411513136078914,0.6694999933242798,12,"[1, 8, 11, 12, 13, 14, 15, 16, 17, 21, 23, 27]",12,"[1, 8, 11, 12, 13, 14, 15, 16, 17, 21, 23, 27]",0,[],0.411513136078914,0.04164746011558005,0.20407709355922346,24.011068075335196,0.6796618805568343,0.05636827205695417,0.2374200329731132,0.6796618805568343,0.05636827205695417,0.2374200329731132
0,3,3,011101111100110000101000100010,0.2942338930635817,0.498255120082335,0.613999992609024,14,"[1, 2, 3, 5, 6, 7, 8, 9, 12, 13, 18, 20, 24, 28]",11,"[1, 2, 3, 5, 6, 8, 12, 13, 18, 20, 28]",3,"[7, 9, 24]",0.43060843566698687,0.051617958898697455,0.2271958602146999,19.373102333677018,0.5659364474702626,0.10631154169240463,0.32605450724135776,0.7057661069364183,0.043764632922030915,0.2091999830832472
0,3,4,111101101111010101110110000101,0.3901941538041974,0.45543836977551966,0.6060000061988831,19,"[0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 13, 15, 17, 18, 19, 21, 22, 27, 29]",17,"[0, 1, 2, 3, 5, 6, 8, 10, 11, 13, 15, 17, 18, 19, 21, 27, 29]",2,"[9, 22]",0.41154727457385315,0.053957145990744505,0.23228677532469322,18.53322635284554,0.5552206402717617,0.09380681744795137,0.30627898629836064,0.6098058461958026,0.07653723872253891,0.27665364397119174
0,3,5,010001010111110110001101000011,0.3940959547110091,0.37751912210996336,0.6495000123977661,15,"[1, 5, 7, 9, 10, 11, 12, 13, 15, 16, 20, 21, 23, 28, 29]",13,"[1, 5, 10, 11, 12, 13, 15, 16, 20, 21, 23, 28, 29]",2,"[7, 9]",0.34513195728262264,0.03201494894806811,0.17892721690136498,31.235408234513,0.5319251278015542,0.10242537979345294,0.3200396534703988,0.6059040452889909,0.0768876039527462,0.27728614093161275
